"rid"	"mid"	"name"	"cuisine"	"is_halal"	"is_veg"	"unit"	"phone"	"hours"	"description"	"website"	"pic_url"	"ad"	"rating"
1	1	"Brotzeit German Bier Bar & Restaurant"	"Western"	"N"	"N"	"#01-27"	"6834 4038"	"12pm-11pm daily"	"Brotzeit is a typical Bavarian expression 'Brot' being German for bread and 'Zeit' for time, referring to a cozy meal complemented by fresh beer. Come to Brotzeit to partake in our world famous quality of German beers accompanied by authentic Bavarian food."	"www.brotzeit1516.com"	"https://www.aspirantsg.com/wp-content/uploads/2018/03/Brotzeit-Sharing-Dishes-AspirantSG.jpg"	"Y"	3.9
2	1	"Chabuton"	"Japanese"	"N"	"N"	"#B2-01"	"6636 8335"	"11.30am-10pm daily"	"Prestigious ramen chain from Japan, Chabuton’s Tonkotsu ramen is served with rich and creamy pork bone broth. Our menu is specially crafted by the Tokyo TV Champion Chef; owner of the first ramen shop listed in the MICHELIN Guide, to create our signature ramen to be of high quality and superior in taste."	"www.facebook.com/chabutonsg"		"Y"	4.8
3	1	"Chir Chir Fusion Chicken Factory"	"Korean"	"N"	"N"	"#B3-04/05/06"	"6509 8364"	"Sun-Thu: 10am-10pm
Fri-Sat: 11am-11pm"	"Chir Chir Fusion Chicken Factory is a casual restaurant chain that specializes in delectable freshly cooked chicken dishes. Chir Chir has earned a strong following in Korea due to it`s unique menu which is great tasting and offers a great variety of selections."	"www.facebook.com/pages/Chir-Chir-Singapore/1551584908411319"		"N"	4.8
4	1	"CoCo Ichibanya"	"Japanese"	"N"	"N"	"#B3-25/27"	"6636 7280"	"Sun-Thu: 10am-10pm
Fri-Sat: 10am-11pm"	"CoCo Ichibanya is the number 1 Japanese curry house in the world and originally from Japan with 30 years of experience in the Japanese food business. There are 1,275 branches located throughout the world, with 1,216 branches in Japan, 5 in the United States, 19 in China, 10 in Taiwan, 11 in South Korea, 2 in Hong Kong, 12 in Thailand, and 1 in Singapore – the very first one at 313@somerset. Let this casual dining curry house wow you with the uniqueness of customization, creativity and attention to detail."	"www.ichibanya.co.jp"		"Y"	4.2
5	1	"Encik Tan"	"Singaporean"	"Y"	"N"	"#B3-39/40"	"6370 1155"	"8am-10pm daily"	"The concept behind Encik Tan arose from the desire to let our Muslim counterparts savour popular local food such as Hainanese Curry Rice, Penang Fried Kway Teow, and Wanton Noodles prepared using halal ingredients, but retaining the nostalgic flavour and taste. At Encik Tan, you can enjoy Halal-certified hawker fare in an air-conditioned setting at a reasonable price."	"enciktan.com.sg"		"Y"	4.3
6	1	"GO Noodle House"	"Chinese"	"N"	"N"	"#B3-37/38"	"6363 5323"	"Mon-Fri: 11.30am-10pm
Sat-Sun: 11am-10pm"	"Step into a Qing Dynasty-inspired shop and indulge in a bowl of heart-warming noodles. The art of Mi Xian (rice noodles) trialled and perfected, served in our piping hot broth with a dash of Hua Diao Wine and topped with a generous amount of Bursting Meatballs, guaranteed to excite your taste buds. For the adventurous, we got you covered! We challenge you to experience every bite with our homemade chilli sauce, or to experiment on the various combination of noodles and toppings. There is definitely a bowl of Mi Xian to satiate everyone!"	"www.facebook.com/pg/gonoodlehousesingapore"		"N"	3.6
7	1	"Hai Di Lao Hot Pot"	"Chinese"	"N"	"N"	"#04-23/24"	"6835 7227"	"10.30am-6am daily"	"Hai Di Lao is a renowned restaurant serving Sichuan-style hot pot with a selection of vegetables, seafood and meat. Be flattered by their chefs' acrobatic feat while performing the Kungfu Noodle dance. Customers may also enjoy free manicure sessions and appetizers while waiting for their table. Here at Hai Di Lao, patrons are made to feel at home and pampered with its impeccable service and posh environment (further bolstered by its first-world washrooms)."	"www.haidilao.com/sg"		"Y"	4.6
8	1	"Ichikokudo Hokkaido Ramen"	"Japanese"	"Y"	"N"	"#B3-35/36"	"6904 5438"	"Sun-Thu: 11.30am-10pm
Fri-Sat: 11.30am-10.30pm"	"ICHIKOKUDO is committed to sharing the authentic flavors and culture of Hokkaido. Our ALL HALAL menu is our pride. Each bowl cooked to order with the freshest ingredients and our full sincerity."	"www.ichikokudo.com"		"Y"	3.8
9	1	"JiBiru Japanese Craft Beer Bar"	"Japanese"	"N"	"N"	"#01-26"	"6732 6884"	"Sun-Thu: 12pm-12am
Fri-Sat: 12pm-1am"	"JiBiru will be the first beer bar in Singapore to dedicate its drinks to Japanese craft brews! Riding on the increasing popularity of craft beers here on our little island, JiBiru Japanese Craft Beer Bar promises an interesting menu for all beer lovers!"	"www.facebook.com/jibiru"		"N"	3.7
10	1	"Marché Mövenpick Restaurant"	"Western"	"N"	"N"	"#01-39/46"	"6834 4041"	"Mon-Thu: 11am-11pm
Fri: 11am-12am
Sat: 10am-12am
Sun: 10am-11pm"	"Wander through Marché Mövenpick Restaurant's unique European marketplace and enjoy the freshest, best quality meals prepared to order. Asia's first Marché Natural Bakery is located on Discovery Walk at 313@somerset."	"www.marche-restaurants.com"		"Y"	4
11	1	"Masizzim / Nipong Naepong"	"Korean"	"N"	"N"	"#B3-02"	"6509 5808"	"Sun-Thu: 11am-10pm
Fri-Sat: 11am-11pm"	"An amalgamation of the Korean words ‘masi’ (delicious) and ‘jjim’ (steam), Masizzim (pronounced ma-see-zim) distinguishes itself from all other Korean eateries with three headline acts: Beef Rib Stew, Pork Rib Stew and Spicy Chicken Stew. These are complemented by a supporting cast of scrumptious side dishes, such as mix grain Rice Balls and three types of savoury Pancakes. Nipong Naepong is Singapore’s first “ppong” specialty restaurant that has revolutionised a well-loved fixture of traditional Chinese-Korean cuisine – jjamppong (seafood noodles). Translated as ‘your ppong, my ppong’, Nipong Naepong offers its titular dish in nine unique renditions inspired by flavours from around the world."	"www.facebook.com/masizzimsingapore"		"Y"	4.5
12	1	"NY Night Market"	"Korean"	"N"	"N"	"#01-29"	"6957 4620"	"Sun-Thu: 8am-11pm
Fri-Sat: 8am-1am"	"Hailing from Seoul, NY Night Market brings to Singapore a taste of the cosmopolitan markets in New York City, where visitors can discover and indulge in a plethora of Korean-fusion street snacks."	"www.facebook.com/nynightmarketsingapore"		"N"	4.7
13	1	"Privé"	"Western"	"N"	"N"	"#01-28"	"6776 0777"	"10am-12am daily"	"Casual all-day dining and drinks venue with comfortable garden-esque alfresco seating serving everything from brunch favourites to Asian delights. Highlights from the menu include juicy burgers, meter-long pizzas as well as a daily Happy Hour promotion from 5-9pm."	"www.theprivegroup.com.sg"		"Y"	4.7
14	1	"Saboten"	"Japanese"	"N"	"N"	"#B2-02/03"	"6333 3432"	"11.30am-9.30pm daily"	"Established in 1996, Saboten has developed into the largest chain of Tonkatsu restaurant, with more than 500 outlets located worldwide. Best Tonkatsu Restaurant in Singapore as voted by HungryGoWhere. Saboten only uses the best ingredients to create the perfect signature Tonkatsu."	"www.facebook.com/saboten.sg"		"Y"	3.8
15	1	"Sora Boru"	"Japanese"	"N"	"N"	"#B3-19/20"		"Sun-Thu: 11am-10pm
Fri-Sat: 11am-11pm"	"Sora Boru is a fast-casual restaurant offering hearty, delicious and affordable Japanese meals. Dig into our signature DonBoru, Noodles or CurryBoru, or design your very own ChirashiBoru!"	"www.facebook.com/SoraBoruSingapore"		"N"	4.8
16	1	"Sushi Express"	"Japanese"	"N"	"N"	"#B3-28/29"	"6509 5002"	"11am-9.30pm daily"	"With over 300 outlets in Asia, Sushi Express brings to you freshness and affordability on a conveyor belt. Everything from our Salmon Sashimi to Sea Urchin Gunkan are at $1.50 only! So if you have not tried out yet, come visit us now!"	"www.sushiexpress.com.sg"		"Y"	4.6
17	1	"TAN YU"	"Chinese"	"N"	"N"	"#B3-30/31/32"	"6509 8887"	"11am-10pm daily"	"TAN YU specialises in grilled fish in over 70 major cities in China with more than 180 outlets. TAN YU opened its first overseas flagship store in 313@somerset on 8 Dec 17. To cater to the diverse taste buds of local Singaporeans, TAN YU uses a variety of cooking methods and offers 12 kinds of flavours for its grilled fish. Popular flavours include Soy Sauce, Green Pepper and Mixed Pepper."	"www.tanyuchina.com"		"Y"	4.2
18	1	"Tok-Tok"	"Indonesian"	"Y"	"N"	"#B3-10"	"6835 7798"	"11am-10pm daily"	"_x000D_
Tok-Tok is The First Indonesian Restaurant in Singapore that focus on introducing a variety of traditional taste Indonesian soup and street snacks. Through combining our delicious soup with “Warung” (Indonesian Street Eatery) concept and iconic logo of “Kentongan”, we would like to present our customers with fully Indonesian street eatery feeling while enjoying our comforting delicious Indonesian Soup."	"www.toktok.com.sg"		"N"	4.4
19	1	"Trattoria Italian Kitchen"	"Western"	"N"	"N"	"#01-16"	"6834 4833"	"9.30am-10.30pm daily"	"Home made pastas and pizzas, freshly baked bread, homemade soups and tasty desserts."	"www.trattoriaasia.com"		"Y"	4.2
20	1	"YAYOI Japanese Restaurant"	"Japanese"	"N"	"N"	"#B3 - 33/34"	"6884 7550"	"11am-8.30pm daily"	"YAYOI is a JAPANESE TEISHOKU RESTAURANT. We serve “TEISHOKU” which includes a good balance of steamed rice (Japanese’s staple food), miso soup, main dish, side dish and other items on a tray. YAYOI will pass down Japan’s delicious food to the future and spread it to the world."	"http://yayoi.sg"		"Y"	4.7
21	3	"Din Tai Fung"	"Chinese"	"N"	"N"	"#02-19"	"6356 5228"	"11am-9.30pm daily"	"Devouring this dumpling is a great experience, with an explosion of rich, steaming, hot soup oozing onto the groove of your tongue."	"https://www.dintaifung.com.sg/"	"https://lh5.googleusercontent.com/p/AF1QipMuYiUonfLSRXJagUdM_-Ism53I5moGviJXObRC=s773-k-no"	"Y"	3.8
22	3	"4 Fingers Crispy Chicken"	"Korean"	"N"	"N"	"#01-32"	"6339 1327"	"11am-10pm daily"	"Crispy double fried chicken slathered in piquant garlic soy sauce, golden Kimchi Fries, refreshing Honey Yuzu drink and four fingers - all you need to a smashing meal."	"https://www.4fingers.com/Home-4FINGERS"	"https://www.capitaland.com/content/dam/capitaland-media-library/retail/Singapore/Singapore/Junction%208/tenant_storefront/4Fingers.png.transform/cap-midres/image.png"	"Y"	4.7
23	3	"Ajisen Ramen"	"Japanese"	"N"	"N"	"#B1-19"	"6255 6642"	"11am-10pm daily"	"Ajisen Ramen was founded in Kumamoto, Japan in 1968 and now has expanded with more than 700 shops worldwide. Famous for its rich Tonkotsu soup (pork broth) which captures the essence after hours of boiling, Ajisen offers a wide variety of ramen which caters to customers of all ages."	"https://www.ajisen.com.sg/"	"https://www.ajisen.com.sg/modules/mod_bt_backgroundslideshow/images/original/7f88456dc0d87cecbd1dbf167393e300.jpg"	"Y"	4.4
24	3	"GENKI SUSHI"	"Japanese"	"N"	"N"	"#01-22"	"6816 2151"	"11am-10pm daily"	"Genki Sushi is the sushi restaurant in Singapore that's known for making dining fun with its conveyor belt sushi experience! Using highly sophisticated serving innovation, Genki Sushi serves your order right up to your table in just two minutes via mini bullet train carriers. Enjoy their equally creative food interpretations like the Egg Pollock Roe Sushi and Cream Cheese Premium Shrimp Sushi that will keep you wanting more."	"https://www.genkisushi.com.sg/"	"http://honolulumagazine-images.dashdigital.com/images/2016/09-16/genki-sushi.jpg?ver=1473493340"	"Y"	4.8
25	7	"AOne Signature"	"Chinese"	"N"	"N"	"#02-128"		"11am-10pm daily"	"Embark on a gastronomic journey of authentic claypot wonders that satisfy both palates and soul. A-One Signature offers a wide variety of dishes to suit every diner in a feel-at-home, comfortable modern Chinese interior. With sizzling hot, fragrant local favourites served on piping hot claypots and hotplates, we promise an all-round dining satisfaction that is set to entice and excite every of your senses."	"http://www.aonegroup.sg/"		"Y"	3.8
26	7	"Aburi-En"	"Japanese"	"N"	"N"	"#01-159"		"11am-10pm daily"	"Aburi-EN is a cosy Japanese restaurant which offers unique, mouth-watering dishes. Aburi, which literally means “flame seared”, brings out the perfection in each dish, balancing each component’s texture and coordinating their flavors so that both come together to create the awesome taste, tantalizing your taste buds. Oishi!!"	"http://www.aburi-en.com.sg/"		"Y"	4
27	7	"Akimitsu"	"Japanese"	"N"	"N"	"#01-54"		"11am-10pm daily"	"Specializing in traditional Tendon (short for Tempura Donburi), “Shitamachi Tendon Akimitsu” was started by Mr. Akimitsu Tanihara in Asakusa, Tokyo, which is the birthplace of Tendon."	"http://www.facebook.com/akimitsu.sg"		"N"	4.1
28	7	"Ayam Penyet President"	"Indonesian"	"Y"	"N"	"#B2-23F"		"11am-10pm daily"	"Ayam Penyet President is a value-for-money casual dining restaurant serving authentic Indonesian cuisine."	"https://ayampresident.com/"		"Y"	4.7
29	7	"Beauty In The Pot"	"Chinese"	"N"	"N"	"#03-08A"	"6255 0758"	"11am-10pm daily"	"Savour the essence of health and beauty with every steaming pot of soup at Beauty in The Pot. Inspired by the culture of food for health, the hotpot concept offers two nourishing soup bases that promise rich flavours coupled with abundant benefits. All ingredients are artfully made by our team of chefs to match seamlessly with the rich and flavourful soup bases for maximum enjoyment. Be awed by the sumptuous menu of fresh ingredients and homemade specialties coupled with the dense and nutrient-rich beauty collagen soup and/or spicy nourishing soup (with three levels of spiciness)."	"http://www.paradisegp.com/"		"Y"	3.8
30	7	"Black Society"	"Chinese"	"N"	"N"	"#02-156"	"6376 9740"	"11am-10pm daily"	"Black society symbolizes the Triads in the Chinese context. The interior décor of Black Society focuses on a black theme so as to bring out the fashionable dining atmosphere and allow customers to experience a different realm in Chinese dining. Try their highly recommended signature dishes and range of premium Chinese tea especially Ginseng Oolong and Chinese Tea Cocktails. In addition, Black Society offers a variety of creative Chinese dimsum which has become a popular dish over the weekends."	"http://blacksociety.com.sg/"		"N"	4.8
31	7	"Bornga"	"Korean"	"N"	"N"	"#02-123"	"6376 8268"	"11am-10pm daily"	"BORNGA, the brainchild of Jong Won Paik, one of Korea’s most successful and renowned celebrity chefs, has anchored itself as a popular household favourite in Korea. Known for its exemplary list of high quality dishes and generous portions at approachable prices, it is now the largest chain of Korean BBQ restaurants globally with more than 50 restaurants in Korea, China, USA, Indonesia, Malaysia, Singapore, Philippines and Vietnam."	"http://www.bornga.co.kr/"		"Y"	4.5
32	7	"Carl's Junior"	"Fast food"	"N"	"N"	"#02-50"	"6820 2720"	"11am-10pm daily"	"Known for its innovative menu of big, juicy, delicious burgers, Carl’s Jr. is the ultimate destination for burger enthusiasts. With the freshest ingredients used in their made-fresh-to-order burgers, Carl’s Jr. ensure that their customers will enjoy both quality and quantity when they bite into each of their true blue American-style burgers."	"http://www.carlsjr.com.sg/"		"Y"	4.2
33	7	"Central Hong Kong Cafe"	"Chinese"	"N"	"N"	"#B2-13"	"6376 8270"	"11am-10pm daily"	"The only authentic Hong Kong Café where one can find most of the legendary Hong Kong staples and street food such as Hong Kong Wanton Noodles, Beef Brisket Noodle, Chee Cheong Fun Hong Kong style and Rickshaw Noodle. Lead by Hong Kong master chef Chiu Ka Wai and together with his team of Hong Kong chefs and colleagues, they are convicted and committed in giving only the authentic Hong Kong flavor and tastes. With its retro 70’s style décor, one will get the complete Hong Kong ambience and feel in Central Hong Kong Café."	"http://www.centralhkcafe.com.sg/"		"N"	4.3
34	7	"Crystal Jade Jiang Nan"	"Chinese"	"N"	"N"	"#01-52"	"6221 1830"	"11am-10pm daily"	"Showcasing authentic regional dishes from south of Yangtze River, Jiangnan is home to four of the eight culinary traditions of China – Sichuan, Jiangsu, Hunan and Zhejiang cuisines. Crystal Jade Jiang Nan features unique dishes such as the multi-coloured Xiao Long Bao and other renowned dishes from the region."	"http://www.crystaljade.com/"		"Y"	4.4
35	7	"Da Paolo Gastronomia"	"Western"	"N"	"N"	"#01-108"	"6259 1838"	"11am-10pm daily"	"Gastronomia was born out of the desire to make great-tasting food easily and readily available to anyone, even the busiest of the lot. A gourmet concept combining cafe and retail, Gastronomia offers a wide array of freshly made food and imported fine foods from Europe."	"http://www.dapaolo.com.sg/"		"Y"	4.3
